Time [s],TX
0.764876082,1.624
0.764895282,1.567
0.764914482,1.510
0.764933682,1.458
0.764952882,1.427
0.764972082,1.407
0.764991282,1.391
0.765010482,1.402
0.765029682,1.427
0.765048882,1.464
0.765068082,1.505
0.765087282,1.551
0.765106482,1.608
0.765125682,1.665
0.765144882,1.711
0.765164082,1.747
0.765183282,1.763
0.765202482,1.773
0.765221682,1.768
0.765240882,1.737
0.765260082,1.701
0.765279282,1.649
0.765298482,1.608
0.765317682,1.556
0.765336882,1.495
0.765356082,1.448
0.765375282,1.417
0.765394482,1.402
0.765413682,1.391
0.765432882,1.402
0.765452082,1.433
0.765471282,1.474
0.765490482,1.525
0.765509682,1.577
0.765528882,1.624
0.765548082,1.675
0.765567282,1.722
0.765586482,1.758
0.765605682,1.768
0.765624882,1.768
0.765644082,1.763
0.765663282,1.737
0.765682482,1.691
0.765701682,1.634
0.765720882,1.577
0.765740082,1.525
0.765759282,1.489
0.765778482,1.443
0.765797682,1.407
0.765816882,1.391
0.765836082,1.396
0.765855282,1.417
0.765874482,1.438
0.765893682,1.479
0.765912882,1.541
0.765932082,1.593
0.765951282,1.649
0.765970482,1.696
0.765989682,1.727
0.766008882,1.763
0.766028082,1.773
0.766047282,1.768
0.766066482,1.747
0.766085682,1.716
0.766104882,1.686
0.766124082,1.624
0.766143282,1.567
0.766162482,1.505
0.766181682,1.464
0.766200882,1.427
0.766220082,1.407
0.766239282,1.391
0.766258482,1.396
0.766277682,1.422
0.766296882,1.464
0.766316082,1.500
0.766335282,1.541
0.766354482,1.608
0.766373682,1.665
0.766392882,1.711
0.766412082,1.747
0.766431282,1.768
0.766450482,1.773
0.766469682,1.768
0.766488882,1.747
0.766508082,1.696
0.766527282,1.655
0.766546482,1.608
0.766565682,1.556
0.766584882,1.495
0.766604082,1.453
0.766623282,1.417
0.766642482,1.402
0.766661682,1.391
0.766680882,1.396
0.766700082,1.427
0.766719282,1.474
0.766738482,1.525
0.766757682,1.577
0.766776882,1.618
0.766796082,1.670
0.766815282,1.722
0.766834482,1.758
0.766853682,1.768
0.766872882,1.768
0.766892082,1.758
0.766911282,1.732
0.766930482,1.691
0.766949682,1.634
0.766968882,1.582
0.766988082,1.536
0.767007282,1.489
0.767026482,1.443
0.767045682,1.407
0.767064882,1.396
0.767084082,1.396
0.767103282,1.412
0.767122482,1.438
0.767141682,1.479
0.767160882,1.541
0.767180082,1.593
0.767199282,1.649
0.767218482,1.691
0.767237682,1.727
0.767256882,1.763
0.767276082,1.768
0.767295282,1.768
0.767314482,1.747
0.767333682,1.722
0.767352882,1.686
